id,asset_id,asset_name,display_name_en,description_en
characterexpressionactionslot01,1604244329,DA_CharacterExpression_ActionSlot_01,,
characterexpressionactionslot02,-1461982949,DA_CharacterExpression_ActionSlot_02,,
characterexpressionactionslot03,-1132144391,DA_CharacterExpression_ActionSlot_03,,
characterexpressionactionslot04,-470741017,DA_CharacterExpression_ActionSlot_04,,
characterexpressionactionslot05,-242292194,DA_CharacterExpression_ActionSlot_05,,
characterexpressionactionslot06,-984895585,DA_CharacterExpression_ActionSlot_06,,
characterexpressionactionslot07,-745251425,DA_CharacterExpression_ActionSlot_07,,
characterexpressionactionslot08,355732461,DA_CharacterExpression_ActionSlot_08,,
characterexpressionactionslotany,2009997924,DA_CharacterExpression_ActionSlot_Any,,
characterexpressionactionslotemoteconfirm,1237598201,DA_CharacterExpression_ActionSlot_Emote_Confirm,,
characterexpressionactionslotemotedecline,1607388763,DA_CharacterExpression_ActionSlot_Emote_Decline,,
characterexpressionactionslotemotedontshoot,297021661,DA_CharacterExpression_ActionSlot_Emote_DontShoot,,
characterexpressionactionslotemoteteamup,217427223,DA_CharacterExpression_ActionSlot_Emote_TeamUp,,
characterexpressiontreerootitem,-1061882909,DA_CharacterExpression_TreeRootItem,,
characterexpressionwheelslot01,2009955329,DA_CharacterExpression_WheelSlot_01,,
characterexpressionwheelslot02,-1441122968,DA_CharacterExpression_WheelSlot_02,,
characterexpressionwheel01,708753323,DA_CharacterExpression_Wheel_01,,
characterexpressionwheel02,2915815,DA_CharacterExpression_Wheel_02,,
anti_tick_field,888005088,DA_CharacterSkill_AntiTickField,Anti-Tick Field,Automatically throws off attached Ticks after {0}s.
unburdened_roll,365000158,DA_CharacterSkill_ArmorBreakFreeDodgeRoll,Unburdened Roll,
used_to_the_weight,1789653302,DA_CharacterSkill_ArmorSpeedCompensation,Used To The Weight,{0}% Reduced Movement Speed Penalty
a_little_extra,338113108,DA_CharacterSkill_BreachGift,A Little Extra,
proficient_pryer,1503534407,DA_CharacterSkill_BreachSpeed,Proficient Pryer,{0}% Increased Breach Speed
gentle_pressure,2057797492,DA_CharacterSkill_BreachVolume,Gentle Pressure,-{0}% Breaching Noise
survivors_stamina,-1925074376,DA_CharacterSkill_CriticalHealthStaminaRegen,Survivor's Stamina,{0}% Increased Stamina Regen
fight_or_flight,114107392,DA_CharacterSkill_DamageStaminaBoost,Fight Or Flight,{0} Stamina Gained When Damaged
downed_but_determined,-1379424521,DA_CharacterSkill_DBNOBleedRate,Downed But Determined,{0}% Reduced Collapse Time When Downed
emergency_adrenaline,1105715491,DA_CharacterSkill_EmergencyADDS,Emergency Adrenaline,"Upon Shield break
emergency_smoke,-726496223,DA_CharacterSkill_EmergencySmoke,Emergency Smoke,"Upon Shield break
blast_born,576151984,DA_CharacterSkill_ExplosionIntensity,Blast-Born,{0}% Reduced Explosion Impact Duration
emergency_tourniquet,1582749621,DA_CharacterSkill_FullBodyTourniquet,Emergency Tourniquet,"While downed and stationary
back_on_your_feet,-758926874,DA_CharacterSkill_HealthRegen,Back On Your Feet,Health Regen Limit: {0}
health_regen,1693686894,DA_CharacterSkill_HealthRegen1,Health Regen,"Restores {0} health every {1} seconds. When damage is taken
